,Species,Class,Syn
62,Aspidoscelis sexlineata,Reptiles,Aspidoscelis sexlineatus
81,Lasiurus intermedius,Mammals,Dasypterus intermedius
132,Myotis melanorhinus,Mammals,Myotis ciliolabrum
135,Ammospiza leconteii,Birds,Ammodramus leconteii
148,Spatula cyanoptera,Birds,Anas cyanoptera
149,Spatula discors,Birds,Anas discors
152,Anas carolinensis,Birds,Anas crecca
153,Ardenna carneipes,Birds,Puffinus carneipes
156,Passerculus bairdii,Birds,Ammodramus bairdii
157,Passerculus henslowii,Birds,Centronyx henslowii
158,Spatula clypeata,Birds,Anas clypeata
162,Conuropsis carolinensis,Birds,Conuropsis carolinensis
169,Gallinula galeata,Birds,Gallinula chloropus
172,Hydrobates furcatus,Birds,Oceanodroma furcata
177,Larus pipixcan,Birds,Leucophaeus pipixcan
182,Nannopterum auritus,Birds,Phalacrocorax auritus
184,Steganopus tricolor,Birds,Phalaropus tricolor
212,Ammospiza caudacuta,Birds,Ammodramus caudacutus
214,Ammospiza maritima,Birds,Ammodramus maritimus
221,Aratinga nenday,Birds,Nandayus nenday
225,Hydrobates castro,Birds,Oceanodroma castro