"","Species","kingdom","phylum","class","order","family","genus","species"
"1","Acris gryllus","Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","Acris gryllus"
"3","Agkistrodon contortrix","Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon contortrix"
"4","Agkistrodon piscivorus","Animalia","Chordata","Reptilia","Squamata","Viperidae","Agkistrodon","Agkistrodon piscivorus"
"5","Alligator mississippiensis","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Alligator","Alligator mississippiensis"
"6","Ambystoma barbouri","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma barbouri"
"8","Ambystoma opacum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma opacum"
"9","Ambystoma talpoideum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma talpoideum"
"11","Ammospermophilus leucurus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Ammospermophilus","Ammospermophilus leucurus"
"12","Ammospiza maritima","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Ammospiza","Ammospiza maritima"
"13","Amphispiza bilineata","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Amphispiza","Amphispiza bilineata"
"14","Amphiuma means","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma means"
"15","Amphiuma tridactylum","Animalia","Chordata","Amphibia","Caudata","Amphiumidae","Amphiuma","Amphiuma tridactylum"
"17","Anaxyrus quercicus","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus quercicus"
"18","Anaxyrus terrestris","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus terrestris"
"19","Anaxyrus woodhousii","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus woodhousii"
"20","Aneides ferreus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides ferreus"
"21","Aneides flavipunctatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Aneides","Aneides flavipunctatus"
"23","Anolis carolinensis","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","Anolis","Anolis carolinensis"
"25","Aphelocoma californica","Animalia","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica"
"26","Arborimus albipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arborimus","Arborimus albipes"
"27","Arborimus longicaudus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arborimus","Arborimus longicaudus"
"29","Artemisiospiza nevadensis","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Artemisiospiza","Artemisiospiza nevadensis"
"30","Aspidoscelis sexlineata","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis sexlineata"
"31","Aspidoscelis tigris","Animalia","Chordata","Reptilia","Squamata","Teiidae","Aspidoscelis","Aspidoscelis tigris"
"32","Baeolophus inornatus","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus inornatus"
"33","Baeolophus ridgwayi","Animalia","Chordata","Aves","Passeriformes","Paridae","Baeolophus","Baeolophus ridgwayi"
"34","Bassariscus astutus","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","Bassariscus astutus"
"35","Batrachoseps attenuatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps","Batrachoseps attenuatus"
"36","Batrachoseps wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Batrachoseps","Batrachoseps wrighti"
"37","Blarina carolinensis","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Blarina","Blarina carolinensis"
"38","Blarina hylophaga","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Blarina","Blarina hylophaga"
"42","Carphophis amoenus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Carphophis","Carphophis amoenus"
"43","Carphophis vermis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Carphophis","Carphophis vermis"
"45","Cemophora coccinea","Animalia","Chordata","Reptilia","Squamata","Colubridae","Cemophora","Cemophora coccinea"
"46","Chaetodipus hispidus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Chaetodipus","Chaetodipus hispidus"
"47","Chamaea fasciata","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Chamaea","Chamaea fasciata"
"50","Contia longicauda","Animalia","Chordata","Reptilia","Squamata","Colubridae","Contia","Contia longicauda"
"52","Corvus ossifragus","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus ossifragus"
"53","Corynorhinus rafinesquii","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Corynorhinus","Corynorhinus rafinesquii"
"54","Crotalus horridus","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus horridus"
"55","Crotaphytus bicinctores","Animalia","Chordata","Reptilia","Squamata","Crotaphytidae","Crotaphytus","Crotaphytus bicinctores"
"56","Cryptobranchus alleganiensis","Animalia","Chordata","Amphibia","Caudata","Cryptobranchidae","Cryptobranchus","Cryptobranchus alleganiensis"
"57","Cynomys leucurus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Cynomys","Cynomys leucurus"
"58","Dasypus novemcinctus","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus"
"59","Desmognathus abditus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus abditus"
"60","Desmognathus aeneus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus aeneus"
"61","Desmognathus auriculatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus auriculatus"
"62","Desmognathus carolinensis","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus carolinensis"
"64","Desmognathus marmoratus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus marmoratus"
"65","Desmognathus monticola","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus monticola"
"67","Desmognathus ocoee","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus ocoee"
"68","Desmognathus orestes","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus orestes"
"69","Desmognathus quadramaculatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus quadramaculatus"
"70","Desmognathus welteri","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus welteri"
"71","Desmognathus wrighti","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus wrighti"
"72","Dipodomys californicus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys californicus"
"73","Dipodomys microps","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomys","Dipodomys microps"
"74","Dryobates nuttallii","Animalia","Chordata","Aves","Piciformes","Picidae","Dryobates","Dryobates nuttallii"
"75","Dryophytes avivoca","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes avivoca"
"77","Dryophytes cinereus","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes cinereus"
"78","Dryophytes femoralis","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes femoralis"
"79","Dryophytes gratiosus","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes gratiosus"
"80","Dryophytes squirellus","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes squirellus"
"83","Egretta caerulea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Egretta","Egretta caerulea"
"85","Elgaria multicarinata","Animalia","Chordata","Reptilia","Squamata","Anguidae","Elgaria","Elgaria multicarinata"
"87","Eurycea cirrigera","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea cirrigera"
"88","Eurycea guttolineata","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea guttolineata"
"89","Eurycea longicauda","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea longicauda"
"90","Eurycea lucifuga","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea lucifuga"
"91","Eurycea quadridigitata","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea quadridigitata"
"92","Eurycea wilderae","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Eurycea","Eurycea wilderae"
"93","Farancia abacura","Animalia","Chordata","Reptilia","Squamata","Colubridae","Farancia","Farancia abacura"
"94","Farancia erytrogramma","Animalia","Chordata","Reptilia","Squamata","Colubridae","Farancia","Farancia erytrogramma"
"95","Gambelia wislizenii","Animalia","Chordata","Reptilia","Squamata","Crotaphytidae","Gambelia","Gambelia wislizenii"
"96","Gastrophryne carolinensis","Animalia","Chordata","Amphibia","Anura","Microhylidae","Gastrophryne","Gastrophryne carolinensis"
"97","Gastrophryne olivacea","Animalia","Chordata","Amphibia","Anura","Microhylidae","Gastrophryne","Gastrophryne olivacea"
"98","Geothlypis formosa","Animalia","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","Geothlypis formosa"
"100","Gymnorhinus cyanocephalus","Animalia","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","Gymnorhinus cyanocephalus"
"103","Haldea striatula","Animalia","Chordata","Reptilia","Squamata","Colubridae","Haldea","Haldea striatula"
"104","Helmitheros vermivorum","Animalia","Chordata","Aves","Passeriformes","Parulidae","Helmitheros","Helmitheros vermivorum"
"105","Holbrookia maculata","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Holbrookia","Holbrookia maculata"
"106","Icterus cucullatus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus cucullatus"
"107","Ictinia mississippiensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Ictinia","Ictinia mississippiensis"
"109","Lampropeltis californiae","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis californiae"
"110","Lampropeltis calligaster","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis calligaster"
"111","Lampropeltis elapsoides","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis elapsoides"
"112","Lampropeltis gentilis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis gentilis"
"113","Lampropeltis getula","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis getula"
"114","Lampropeltis holbrooki","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis holbrooki"
"115","Lampropeltis nigra","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis nigra"
"116","Lampropeltis zonata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis","Lampropeltis zonata"
"120","Leiothlypis virginiae","Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis","Leiothlypis virginiae"
"122","Lepus californicus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus californicus"
"123","Limnothlypis swainsonii","Animalia","Chordata","Aves","Passeriformes","Parulidae","Limnothlypis","Limnothlypis swainsonii"
"124","Lithobates areolatus","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates areolatus"
"125","Lithobates blairi","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates blairi"
"126","Lithobates capito","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates capito"
"129","Lithobates sphenocephalus","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates sphenocephalus"
"131","Lithobates virgatipes","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates virgatipes"
"133","Malaclemys terrapin","Animalia","Chordata","Reptilia","Testudines","Emydidae","Malaclemys","Malaclemys terrapin"
"134","Marmota olympus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Marmota","Marmota olympus"
"135","Masticophis flagellum","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis flagellum"
"136","Masticophis lateralis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis lateralis"
"137","Masticophis taeniatus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Masticophis","Masticophis taeniatus"
"138","Melanerpes formicivorus","Animalia","Chordata","Aves","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus"
"140","Microdipodops megacephalus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Microdipodops","Microdipodops megacephalus"
"141","Microtus californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Microtus","Microtus californicus"
"143","Myiarchus cinerascens","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","Myiarchus cinerascens"
"144","Myodes californicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Myodes","Myodes californicus"
"145","Myotis austroriparius","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis austroriparius"
"146","Necturus lewisi","Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","Necturus lewisi"
"148","Necturus punctatus","Animalia","Chordata","Amphibia","Caudata","Proteidae","Necturus","Necturus punctatus"
"149","Neotamias dorsalis","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias dorsalis"
"150","Neotamias senex","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias senex"
"151","Neotamias siskiyou","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias siskiyou"
"152","Neotamias sonomae","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias sonomae"
"153","Neotamias umbrinus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Neotamis","Neotamias umbrinus"
"154","Neotoma floridana","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma floridana"
"155","Neotoma fuscipes","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma fuscipes"
"156","Neotoma lepida","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotoma","Neotoma lepida"
"157","Nerodia cyclopion","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia cyclopion"
"158","Nerodia erythrogaster","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia erythrogaster"
"159","Nerodia fasciata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia fasciata"
"160","Nerodia rhombifer","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia rhombifer"
"161","Nerodia taxispilota","Animalia","Chordata","Reptilia","Squamata","Colubridae","Nerodia","Nerodia taxispilota"
"163","Nyctanassa violacea","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nyctanassa","Nyctanassa violacea"
