"","Species","kingdom","phylum","class","order","family","genus","species"
"164","Nycticeius humeralis","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Nycticeius","Nycticeius humeralis"
"166","Ochrotomys nuttalli","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Ochrotomys","Ochrotomys nuttalli"
"167","Onychomys torridus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Onychomys","Onychomys torridus"
"168","Opheodrys aestivus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Opheodrys","Opheodrys aestivus"
"169","Ophisaurus attenuatus","Animalia","Chordata","Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus attenuatus"
"170","Ophisaurus ventralis","Animalia","Chordata","Reptilia","Squamata","Anguidae","Ophisaurus","Ophisaurus ventralis"
"173","Otospermophilus beecheyi","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Otospermophilus","Otospermophilus beecheyi"
"174","Pantherophis alleghaniensis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis alleghaniensis"
"175","Pantherophis emoryi","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis emoryi"
"176","Pantherophis guttatus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis guttatus"
"177","Pantherophis obsoletus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis obsoletus"
"178","Pantherophis ramspotti","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pantherophis","Pantherophis ramspotti"
"179","Parastrellus hesperus","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Parastrellus","Parastrellus hesperus"
"181","Passerella megarhyncha","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Passerella","Passerella megarhyncha"
"182","Passerina caerulea","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Passerina","Passerina caerulea"
"184","Perognathus flavescens","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus flavescens"
"185","Perognathus flavus","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus flavus"
"186","Perognathus longimembris","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Perognathus","Perognathus longimembris"
"187","Peromyscus boylii","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus boylii"
"188","Peromyscus crinitus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus crinitus"
"189","Peromyscus gossypinus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus gossypinus"
"190","Peromyscus polionotus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus polionotus"
"191","Peromyscus truei","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus truei"
"192","Peucaea cassinii","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Peucaea","Peucaea cassinii"
"193","Phrynosoma douglasii","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma douglasii"
"194","Phrynosoma platyrhinos","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Phrynosoma","Phrynosoma platyrhinos"
"195","Pipilo chlorurus","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Pipilo","Pipilo chlorurus"
"196","Piranga rubra","Animalia","Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga rubra"
"197","Pituophis melanoleucus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Pituophis","Pituophis melanoleucus"
"198","Plegadis falcinellus","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus"
"199","Plestiodon anthracinus","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon anthracinus"
"201","Plestiodon inexpectatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon inexpectatus"
"202","Plestiodon laticeps","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon laticeps"
"203","Plestiodon multivirgatus","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon multivirgatus"
"204","Plestiodon obsoletus","Animalia","Chordata","Reptilia","Squamata","Scincidae","Plestiodon","Plestiodon obsoletus"
"205","Plethodon albagula","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon albagula"
"207","Plethodon cylindraceus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon cylindraceus"
"208","Plethodon dorsalis","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon dorsalis"
"209","Plethodon dunni","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon dunni"
"210","Plethodon electromorphus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon electromorphus"
"211","Plethodon elongatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon elongatus"
"212","Plethodon glutinosus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon glutinosus"
"213","Plethodon jordani","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon jordani"
"214","Plethodon kentucki","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon kentucki"
"215","Plethodon metcalfi","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon metcalfi"
"216","Plethodon montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon montanus"
"217","Plethodon richmondi","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon richmondi"
"218","Plethodon serratus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon serratus"
"219","Plethodon sherando","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon sherando"
"220","Plethodon shermani","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon shermani"
"221","Plethodon teyahalee","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon teyahalee"
"222","Plethodon ventralis","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon ventralis"
"223","Plethodon welleri","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon welleri"
"224","Plethodon yonahlossee","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon yonahlossee"
"225","Poecile carolinensis","Animalia","Chordata","Aves","Passeriformes","Paridae","Poecile","Poecile carolinensis"
"228","Pseudacris brachyphona","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris brachyphona"
"229","Pseudacris brimleyi","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris brimleyi"
"231","Pseudacris feriarum","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris feriarum"
"232","Pseudacris kalmi","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris kalmi"
"233","Pseudacris nigrita","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris nigrita"
"234","Pseudacris ocularis","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris ocularis"
"235","Pseudacris ornata","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris ornata"
"236","Pseudacris streckeri","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris streckeri"
"237","Pseudotriton montanus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Pseudotriton","Pseudotriton montanus"
"238","Quiscalus major","Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus major"
"239","Quiscalus mexicanus","Animalia","Chordata","Aves","Passeriformes","Icteridae","Quiscalus","Quiscalus mexicanus"
"240","Rallus crepitans","Animalia","Chordata","Aves","Gruifformes","Rallidae","Rallus","Rallus crepitans"
"242","Rana boylii","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana boylii"
"243","Rana cascadae","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana cascadae"
"246","Regina grahamii","Animalia","Chordata","Reptilia","Squamata","Colubridae","Regina","Regina grahamii"
"248","Reithrodontomys humulis","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys humulis"
"249","Reithrodontomys montanus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys montanus"
"250","Rhadinaea flavilata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Rhadinaea","Rhadinaea flavilata"
"251","Rhinocheilus lecontei","Animalia","Chordata","Reptilia","Squamata","Colubridae","Rhinocheilus","Rhinocheilus lecontei"
"252","Sayornis nigricans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sayornis","Sayornis nigricans"
"254","Scapanus latimanus","Animalia","Chordata","Mammalia","Soricomorpha","Talpidae","Scapanus","Scapanus latimanus"
"255","Scaphiopus holbrookii","Animalia","Chordata","Amphibia","Anura","Scaphiopodidae","Scaphiopus","Scaphiopus holbrookii"
"256","Sceloporus graciosus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Sceloporus","Sceloporus graciosus"
"257","Sceloporus occidentalis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Sceloporus","Sceloporus occidentalis"
"258","Sceloporus undulatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Sceloporus","Sceloporus undulatus"
"259","Scincella lateralis","Animalia","Chordata","Reptilia","Squamata","Scincidae","Scincella","Scincella lateralis"
"260","Sciurus griseus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus griseus"
"262","Selasphorus platycercus","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus platycercus"
"263","Selasphorus sasin","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Selasphorus","Selasphorus sasin"
"264","Setophaga dominica","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga dominica"
"265","Setophaga occidentalis","Animalia","Chordata","Aves","Passeriformes","Parulidae","Setophaga","Setophaga occidentalis"
"269","Sigmodon hispidus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","Sigmodon hispidus"
"270","Siren intermedia","Animalia","Chordata","Amphibia","Caudata","Sirenidae","Siren","Siren intermedia"
"271","Siren lacertina","Animalia","Chordata","Amphibia","Caudata","Sirenidae","Siren","Siren lacertina"
"272","Sistrurus miliarius","Animalia","Chordata","Reptilia","Squamata","Viperidae","Sistrurus","Sistrurus miliarius"
"273","Sitta pusilla","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta pusilla"
"275","Sonora semiannulata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Sonora","Sonora semiannulata"
"276","Sorex longirostris","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex longirostris"
"277","Sorex merriami","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex merriami"
"278","Sorex nanus","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex nanus"
"279","Sorex sonomae","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","Sorex sonomae"
"282","Spinus psaltria","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus psaltria"
"284","Stereochilus marginatus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Stereochilus","Stereochilus marginatus"
"286","Sylvilagus aquaticus","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus aquaticus"
"287","Sylvilagus audubonii","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus audubonii"
"288","Sylvilagus bachmani","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus bachmani"
"289","Sylvilagus palustris","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus palustris"
"290","Sylvilagus transitionalis","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus transitionalis"
"291","Tadarida brasiliensis","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis"
"292","Tantilla coronata","Animalia","Chordata","Reptilia","Squamata","Colubridae","Tantilla","Tantilla coronata"
"293","Tantilla gracilis","Animalia","Chordata","Reptilia","Squamata","Colubridae","Tantilla","Tantilla gracilis"
"294","Tantilla nigriceps","Animalia","Chordata","Reptilia","Squamata","Colubridae","Tantilla","Tantilla nigriceps"
"296","Thamnophis atratus","Animalia","Chordata","Reptilia","Squamata","Colubridae","Thamnophis","Thamnophis atratus"
"297","Thomomys bottae","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys bottae"
"298","Thomomys idahoensis","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys idahoensis"
"299","Thomomys mazama","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys mazama"
"300","Thomomys monticola","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys monticola"
"301","Thomomys townsendii","Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys","Thomomys townsendii"
"302","Toxostoma redivivum","Animalia","Chordata","Aves","Passeriformes","Mimidae","Toxostoma","Toxostoma redivivum"
"306","Tropidoclonion lineatum","Animalia","Chordata","Reptilia","Squamata","Colubridae","Tropidoclonion","Tropidoclonion lineatum"
"307","Tyrannus vociferans","Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus vociferans"
"308","Urocitellus armatus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus armatus"
"309","Urocitellus beldingi","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus beldingi"
"310","Urocitellus canus","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus canus"
"311","Urocitellus elegans","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus elegans"
"312","Urocitellus mollis","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Urocitellus","Urocitellus mollis"
"314","Uta stansburiana","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Uta","Uta stansburiana"
"315","Vireo bellii","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo bellii"
"316","Vireo griseus","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo griseus"
"317","Vireo plumbeus","Animalia","Chordata","Aves","Passeriformes","Vireonidae","Vireo","Vireo plumbeus"
"318","Virginia valeriae","Animalia","Chordata","Reptilia","Squamata","Colubridae","Virginia","Virginia valeriae"
"319","Vulpes macrotis","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes macrotis"
"320","Xerospermophilus spilosoma","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerospermophilus","Xerospermophilus spilosoma"
