Family,family
1,Struthionidae
3,Casuariidae
4,Apterygidae
5,Tinamidae
6,Cracidae
7,Megapodiidae
8,Phasianidae
9,Numididae
10,Odontophoridae
12,Anseranatidae
13,Dendrocygnidae
14,Anatidae
15,Turnicidae
16,Indicatoridae
17,Picidae
19,Lybiidae
20,Ramphastidae
21,Galbulidae
22,Bucconidae
23,Bucerotidae
24,Bucorvidae
25,Upupidae
26,Phoeniculidae
27,Rhinopomastidae
28,Trogonidae
29,Coraciidae
32,Momotidae
34,Alcedinidae
35,Halcyonidae
36,Cerylidae
37,Meropidae
38,Coliidae
39,Cuculidae
40,Centropidae
41,Coccyzidae
43,Crotophagidae
44,Neomorphidae
45,Psittacidae
46,Apodidae
48,Trochilidae
49,Musophagidae
50,Tytonidae
51,Strigidae
52,Aegothelidae
53,Podargidae
56,Nyctibiidae
57,Eurostopodidae
58,Caprimulgidae
60,Columbidae
61,Eurypygidae
62,Otididae
63,Gruidae
64,Aramidae
65,Heliornithidae
69,Rallidae
71,Pteroclidae
72,Thinocoridae
73,Pedionomidae
74,Scolopacidae
75,Rostratulidae
76,Jacanidae
77,Chionidae
78,Pluvianellidae
79,Burhinidae
80,Charadriidae
81,Glareolidae
82,Laridae
83,Accipitridae
84,Sagittariidae
85,Falconidae
86,Podicipedidae
87,Phaethontidae
88,Sulidae
89,Anhingidae
90,Phalacrocoracidae
91,Ardeidae
92,Scopidae
93,Phoenicopteridae
94,Threskiornithidae
95,Pelecanidae
96,Ciconiidae
97,Fregatidae
98,Spheniscidae
99,Gaviidae
100,Procellariidae
101,Acanthisittidae
102,Pittidae
103,Eurylaimidae
105,Tyrannidae
106,Thamnophilidae
107,Furnariidae
108,Formicariidae
111,Climacteridae
112,Menuridae
113,Ptilonorhynchidae
114,Maluridae
115,Meliphagidae
116,Pardalotidae
117,Petroicidae
119,Orthonychidae
120,Pomatostomidae
121,Laniidae
122,Vireonidae
123,Corvidae
125,Picathartidae
126,Bombycillidae
127,Cinclidae
128,Muscicapidae
129,Sturnidae
130,Sittidae
131,Certhiidae
132,Paridae
133,Aegithalidae
134,Hirundinidae
135,Regulidae
136,Pycnonotidae
137,Hypocoliidae
138,Cisticolidae
139,Zosteropidae
140,Sylviidae
141,Alaudidae
142,Nectariniidae
143,Melanocharitidae
145,Passeridae
146,Fringillidae.,